FREQ_MHz	SENS_DB	SENS_VPERPA	SENS_V2CM2PERW	CAP_PF
8.75	-256.04	1.58E-07	3.74E-04	84.724
8.8	-256.07	1.57E-07	3.71E-04	84.712
8.85	-256.12	1.56E-07	3.67E-04	84.699
8.9	-256.17	1.55E-07	3.62E-04	84.686
8.95	-256.05	1.58E-07	3.72E-04	84.674
9	-255.93	1.60E-07	3.83E-04	84.661
9.05	-255.94	1.60E-07	3.82E-04	84.649
9.1	-256.03	1.58E-07	3.75E-04	84.636
9.15	-256.12	1.56E-07	3.66E-04	84.624
9.2	-256.16	1.56E-07	3.63E-04	84.612
9.25	-256.22	1.55E-07	3.58E-04	84.599
9.3	-256.3	1.53E-07	3.52E-04	84.587
9.35	-256.19	1.55E-07	3.61E-04	84.575
9.4	-256.1	1.57E-07	3.68E-04	84.563
9.45	-256.07	1.57E-07	3.71E-04	84.551
9.5	-256.1	1.57E-07	3.68E-04	84.539
9.55	-256.22	1.55E-07	3.59E-04	84.527
9.6	-256.34	1.52E-07	3.49E-04	84.514
9.65	-256.39	1.52E-07	3.44E-04	84.502
9.7	-256.22	1.55E-07	3.58E-04	84.491
9.75	-256.08	1.57E-07	3.70E-04	84.479
9.8	-256.13	1.56E-07	3.65E-04	84.467
9.85	-256.26	1.54E-07	3.55E-04	84.455
9.9	-256.4	1.51E-07	3.44E-04	84.443
9.95	-256.53	1.49E-07	3.33E-04	84.431
10	-256.55	1.49E-07	3.32E-04	84.419
10.05	-256.45	1.50E-07	3.40E-04	84.408
10.1	-256.45	1.51E-07	3.40E-04	84.396
10.15	-256.53	1.49E-07	3.34E-04	84.384
10.2	-256.72	1.46E-07	3.19E-04	84.372
10.25	-256.97	1.42E-07	3.01E-04	84.361
10.3	-257.05	1.40E-07	2.96E-04	84.349
10.35	-256.96	1.42E-07	3.02E-04	84.337
10.4	-256.86	1.44E-07	3.09E-04	84.326
10.45	-256.82	1.44E-07	3.12E-04	84.314
10.5	-256.95	1.42E-07	3.03E-04	84.303
10.55	-257.14	1.39E-07	2.90E-04	84.291
10.6	-257.28	1.37E-07	2.81E-04	84.28
10.65	-257.15	1.39E-07	2.89E-04	84.268
10.7	-256.91	1.43E-07	3.06E-04	84.257
10.75	-256.89	1.43E-07	3.07E-04	84.245
10.8	-257.11	1.40E-07	2.92E-04	84.234
10.85	-257.24	1.37E-07	2.83E-04	84.222
10.9	-257.24	1.38E-07	2.84E-04	84.211
10.95	-257.14	1.39E-07	2.90E-04	84.199
11	-257.07	1.40E-07	2.95E-04	84.188
11.05	-257.08	1.40E-07	2.94E-04	84.177
11.1	-257.22	1.38E-07	2.85E-04	84.165
11.15	-257.3	1.37E-07	2.80E-04	84.154
11.2	-257.39	1.35E-07	2.74E-04	84.143
11.25	-257.6	1.32E-07	2.61E-04	84.131
11.3	-257.83	1.28E-07	2.47E-04	84.12
11.35	-257.99	1.26E-07	2.38E-04	84.109
11.4	-258.12	1.24E-07	2.32E-04	84.097
11.45	-258.04	1.25E-07	2.35E-04	84.086
11.5	-258	1.26E-07	2.38E-04	84.075
11.55	-257.95	1.27E-07	2.40E-04	84.063
11.6	-258.03	1.26E-07	2.36E-04	84.052
11.65	-258.26	1.22E-07	2.24E-04	84.041
11.7	-258.37	1.21E-07	2.18E-04	84.03
11.75	-258.42	1.20E-07	2.16E-04	84.018
11.8	-258.51	1.19E-07	2.12E-04	84.007
11.85	-258.52	1.19E-07	2.11E-04	83.996
11.9	-258.57	1.18E-07	2.09E-04	83.985
11.95	-258.72	1.16E-07	2.01E-04	83.974
12	-258.75	1.15E-07	2.00E-04	83.962
12.05	-258.65	1.17E-07	2.05E-04	83.951
12.1	-258.71	1.16E-07	2.02E-04	83.94
12.15	-259	1.12E-07	1.89E-04	83.929
12.2	-259.31	1.08E-07	1.76E-04	83.918
12.25	-259.47	1.06E-07	1.69E-04	83.907
12.3	-259.53	1.06E-07	1.67E-04	83.896
12.35	-259.47	1.06E-07	1.69E-04	83.885
12.4	-259.41	1.07E-07	1.72E-04	83.873
12.45	-259.5	1.06E-07	1.68E-04	83.862
12.5	-259.54	1.06E-07	1.67E-04	83.851
12.55	-259.55	1.05E-07	1.66E-04	83.84
12.6	-259.57	1.05E-07	1.66E-04	83.829
12.65	-259.63	1.04E-07	1.64E-04	83.818
12.7	-259.74	1.03E-07	1.59E-04	83.807
12.75	-259.93	1.01E-07	1.52E-04	83.796
12.8	-260.08	9.91E-08	1.47E-04	83.785
12.85	-260.05	9.95E-08	1.48E-04	83.774
12.9	-260.04	9.95E-08	1.49E-04	83.763
12.95	-260	1.00E-07	1.50E-04	83.752
13	-259.97	1.00E-07	1.51E-04	83.741
13.05	-260.04	9.95E-08	1.49E-04	83.73
13.1	-260.15	9.83E-08	1.45E-04	83.719
13.15	-260.22	9.75E-08	1.43E-04	83.708
13.2	-260.3	9.66E-08	1.40E-04	83.697
13.25	-260.34	9.62E-08	1.39E-04	83.686
13.3	-260.2	9.77E-08	1.43E-04	83.676
13.35	-260.13	9.85E-08	1.46E-04	83.665
13.4	-260.2	9.77E-08	1.43E-04	83.654
13.45	-260.25	9.72E-08	1.42E-04	83.643
13.5	-260.36	9.59E-08	1.38E-04	83.632
13.55	-260.44	9.50E-08	1.35E-04	83.621
13.6	-260.67	9.26E-08	1.29E-04	83.611
13.65	-260.82	9.10E-08	1.24E-04	83.6
13.7	-261	8.91E-08	1.19E-04	83.589
13.75	-261.14	8.78E-08	1.16E-04	83.578
13.8	-261.22	8.69E-08	1.13E-04	83.568
13.85	-261.29	8.62E-08	1.11E-04	83.557
13.9	-261.5	8.41E-08	1.06E-04	83.546
13.95	-261.65	8.27E-08	1.03E-04	83.536
14	-261.54	8.38E-08	1.05E-04	83.525
14.05	-261.41	8.50E-08	1.08E-04	83.514
14.1	-261.46	8.45E-08	1.07E-04	83.504
14.15	-261.53	8.38E-08	1.05E-04	83.493
14.2	-261.5	8.41E-08	1.06E-04	83.483
14.25	-261.58	8.34E-08	1.04E-04	83.472
14.3	-261.67	8.26E-08	1.02E-04	83.462
14.35	-261.6	8.32E-08	1.04E-04	83.451
14.4	-261.66	8.26E-08	1.02E-04	83.441
14.45	-261.75	8.18E-08	1.00E-04	83.431
14.5	-261.82	8.11E-08	9.87E-05	83.42
14.55	-261.74	8.18E-08	1.00E-04	83.41
14.6	-261.76	8.16E-08	1.00E-04	83.4
14.65	-261.94	8.00E-08	9.61E-05	83.389
14.7	-262.06	7.89E-08	9.33E-05	83.379
14.75	-262.15	7.81E-08	9.15E-05	83.369
14.8	-262.33	7.65E-08	8.77E-05	83.359
14.85	-262.08	7.87E-08	9.28E-05	83.349
14.9	-262	7.95E-08	9.47E-05	83.339
14.95	-261.92	8.01E-08	9.63E-05	83.329
15	-261.7	8.22E-08	1.01E-04	83.319
15.05	-261.63	8.29E-08	1.03E-04	83.309
15.1	-261.56	8.35E-08	1.05E-04	83.299
15.15	-261.5	8.41E-08	1.06E-04	83.289
15.2	-261.64	8.28E-08	1.03E-04	83.279
15.25	-261.82	8.11E-08	9.87E-05	83.27
15.3	-261.89	8.04E-08	9.70E-05	83.26
15.35	-261.98	7.96E-08	9.50E-05	83.25
15.4	-261.96	7.98E-08	9.56E-05	83.241
15.45	-261.81	8.12E-08	9.89E-05	83.231
15.5	-261.76	8.17E-08	1.00E-04	83.221
15.55	-261.77	8.16E-08	9.98E-05	83.212
15.6	-261.78	8.15E-08	9.96E-05	83.203
15.65	-261.92	8.02E-08	9.64E-05	83.193
15.7	-262.1	7.85E-08	9.24E-05	83.184
15.75	-262.22	7.75E-08	9.00E-05	83.175
15.8	-262.25	7.72E-08	8.94E-05	83.166
15.85	-262.18	7.78E-08	9.08E-05	83.157
15.9	-261.98	7.97E-08	9.52E-05	83.147
15.95	-261.84	8.10E-08	9.83E-05	83.139
16	-261.81	8.12E-08	9.89E-05	83.13
16.05	-261.9	8.03E-08	9.67E-05	83.121
16.1	-262.09	7.86E-08	9.27E-05	83.112
16.15	-262.12	7.84E-08	9.21E-05	83.103
16.2	-262.2	7.77E-08	9.05E-05	83.095
16.25	-262.38	7.61E-08	8.68E-05	83.086
16.3	-262.56	7.45E-08	8.32E-05	83.078
16.35	-262.79	7.25E-08	7.89E-05	83.069
16.4	-262.9	7.16E-08	7.70E-05	83.061
16.45	-262.98	7.09E-08	7.55E-05	83.053
16.5	-262.91	7.16E-08	7.68E-05	83.045
16.55	-262.65	7.37E-08	8.16E-05	83.037
16.6	-262.61	7.40E-08	8.22E-05	83.029
16.65	-262.67	7.35E-08	8.10E-05	83.021
16.7	-262.64	7.38E-08	8.17E-05	83.013
16.75	-262.73	7.30E-08	7.99E-05	83.005
16.8	-262.85	7.20E-08	7.78E-05	82.997
16.85	-262.84	7.21E-08	7.81E-05	82.99
16.9	-262.88	7.17E-08	7.72E-05	82.983
16.95	-262.97	7.10E-08	7.57E-05	82.975
17	-262.91	7.15E-08	7.68E-05	82.968
17.05	-262.88	7.18E-08	7.72E-05	82.961
17.1	-262.72	7.31E-08	8.02E-05	82.954
17.15	-262.78	7.26E-08	7.90E-05	82.947
17.2	-262.96	7.11E-08	7.58E-05	82.94
17.25	-262.71	7.32E-08	8.04E-05	82.933
17.3	-262.83	7.22E-08	7.82E-05	82.927
17.35	-263.05	7.04E-08	7.43E-05	82.92
17.4	-263.11	6.99E-08	7.33E-05	82.914
17.45	-263.13	6.97E-08	7.29E-05	82.908
17.5	-263.29	6.85E-08	7.04E-05	82.902
17.55	-263.3	6.84E-08	7.02E-05	82.896
17.6	-263.15	6.96E-08	7.26E-05	82.89
17.65	-262.9	7.16E-08	7.69E-05	82.884
17.7	-262.79	7.25E-08	7.89E-05	82.878
17.75	-262.8	7.24E-08	7.86E-05	82.873
17.8	-263.02	7.07E-08	7.49E-05	82.867
17.85	-263.13	6.98E-08	7.30E-05	82.862
17.9	-263.12	6.98E-08	7.31E-05	82.857
17.95	-263.06	7.03E-08	7.41E-05	82.852
18	-263.28	6.86E-08	7.05E-05	82.847
18.05	-263.32	6.82E-08	6.98E-05	82.843
18.1	-263.1	7.00E-08	7.36E-05	82.838
18.15	-262.94	7.13E-08	7.63E-05	82.834
18.2	-263.27	6.86E-08	7.07E-05	82.829
18.25	-263.19	6.92E-08	7.19E-05	82.825
18.3	-263.35	6.80E-08	6.93E-05	82.821
18.35	-263.48	6.70E-08	6.73E-05	82.818
18.4	-263.46	6.72E-08	6.76E-05	82.814
18.45	-263.3	6.84E-08	7.01E-05	82.811
18.5	-263.24	6.88E-08	7.11E-05	82.807
18.55	-263.32	6.83E-08	6.99E-05	82.804
18.6	-263.37	6.78E-08	6.90E-05	82.801
18.65	-263.41	6.75E-08	6.84E-05	82.799
18.7	-263.41	6.75E-08	6.84E-05	82.796
18.75	-263.51	6.68E-08	6.68E-05	82.794
18.8	-263.53	6.66E-08	6.65E-05	82.791
18.85	-263.61	6.60E-08	6.54E-05	82.789
18.9	-263.87	6.41E-08	6.16E-05	82.787
18.95	-264.01	6.30E-08	5.96E-05	82.786
19	-264.17	6.19E-08	5.75E-05	82.784
19.05	-264.09	6.24E-08	5.85E-05	82.783
19.1	-264.09	6.25E-08	5.85E-05	82.782
19.15	-264.12	6.22E-08	5.81E-05	82.781
19.2	-264.1	6.24E-08	5.83E-05	82.78
19.25	-264.13	6.22E-08	5.80E-05	82.78
19.3	-264.2	6.17E-08	5.71E-05	82.779
19.35	-264.02	6.30E-08	5.95E-05	82.779
19.4	-263.64	6.57E-08	6.48E-05	82.779
19.45	-263.35	6.80E-08	6.93E-05	82.78
19.5	-263.2	6.92E-08	7.18E-05	82.78
19.55	-263.21	6.91E-08	7.16E-05	82.781
19.6	-263.16	6.95E-08	7.24E-05	82.782
19.65	-263.25	6.88E-08	7.11E-05	82.783
19.7	-263.43	6.73E-08	6.80E-05	82.784
19.75	-263.62	6.59E-08	6.51E-05	82.786
19.8	-263.69	6.54E-08	6.42E-05	82.788
19.85	-263.77	6.48E-08	6.30E-05	82.79
19.9	-263.74	6.50E-08	6.34E-05	82.791
19.95	-263.6	6.61E-08	6.55E-05	82.792
20	-263.46	6.71E-08	6.76E-05	82.793
